Topic,Source,Date,Topic,Content,url,Risk & Impact level,Remark
Technology,Reuters,"July 15, 2024",French competition authority confirms investigation into Nvidia,"PARIS, July 15 (Reuters) - The French competition authority confirmed on Monday that an investigation is underway into chipmaker Nvidia (NVDA.O), opens new tab over alleged anti-competitive practices.
Benoit Coeure, president of the agency, told Reuters on the sidelines of a press briefing that the company would be charged ""if the investigation is fruitful"".
Reuters, citing sources, reported earlier this month that the company was set to be charged by the French antitrust regulator.
The Technology Roundup newsletter brings the latest news and trends straight to your inbox. Sign up here.
Reporting by Dominique Patton, Editing by Louise Heavens",https://www.reuters.com/technology/french-competition-authority-confirms-investigation-into-nvidia-2024-07-15/,/,
Technology,Reuters,"July 15, 2024",British regulators to examine Big Tech's digital wallets,"LONDON, July 15 (Reuters) - British regulators said on Monday they were looking into the soaring use of digital wallets offered by Big Tech firms, including whether there are any competition, consumer protection or market integrity concerns.
The Financial Conduct Authority and Payments Systems Regulator is seeking views on the benefits and risks, and will assess the impact digital wallets, such as Apple Pay, Google Pay and PayPal, have on competition and choice of payment options at checkout, among other things.
Advertisement · Scroll to continue
Digital wallets are now likely used by more than half of UK adults and have become ""an increasingly important touchpoint"" between Big Tech companies and UK consumers, they said in a statement.
""Digital wallets are steadily becoming a go-to payment type and while this presents exciting opportunities, there might be risks too,"" said David Geale, the PSR's managing director.
Nikhil Rathi, the FCA's chief executive, said the growth of digital wallets represented a ""seismic shift"" in how people pay and regulators wanted to maximise the opportunities while ""protecting against any risks this technology may present.""
Advertisement · Scroll to continue
Regulators and lawmakers in Europe and the United States have been examining the growing role of Big Tech in financial services.
The U.S. consumer watchdog last year proposed regulating payments and smartphone wallets, prompting criticism from the industry.
The British regulators said their review of digital wallets built on their previous work on contactless mobile payments and on the role of Big Tech firms in financial services.
After considering all feedback, the regulators provide an update on Big Tech and digital wallets by the first quarter of 2025.
The Technology Roundup newsletter brings the latest news and trends straight to your inbox. Sign up here.
Reporting by Tommy Reggiori Wilkes in London and Yadarisa Shabong in Bengaluru; Editing by Krishna Chandra Eluri and David Evans",https://www.reuters.com/technology/british-regulators-examine-big-techs-digital-wallets-2024-07-15/,/,
Technology,CNN,"July 15, 2024",Google is close to making its biggest acquisition ever,"New York CNN — Google owner Alphabet is in advanced discussions to buy fast-growing cybersecurity startup Wiz for roughly $23 billion, a person familiar with the matter confirmed to CNN. A takeover of Wiz, which makes cybersecurity software for cloud computing, would represent a major bet by Google on cybersecurity, marking the tech giant’s biggest-ever acquisition. Discussions between Google and Wiz began after the startup raised $1 billion from venture capital investors earlier this year, the source said. Terms of a potential deal have not been finalized and talks could still collapse, according to the source. News of the Google-Wiz talks was first reported by The Wall Street Journal. Neither Google nor Wiz returned CNN’s requests for comment. The deal would easily surpass Google’s purchase of Motorola for $12.5 billion about a decade ago, the biggest takeover in company history. Google offloaded Motorola just two years later for a massive loss. A $23 billion price tag on Wiz is nearly double the $12 billion valuation of the startup from its most recent round of funding. In March 2022, Alphabet bought cybersecurity firm Mandiant for $5.4 billion as part of its efforts to help companies better address cyber threats and bolster its cloud computing business. Google Cloud is central to the company’s efforts to diversity revenue beyond its core search advertising business. Although its cloud sales have grown, it has struggled to compete with similar services from Microsoft and Amazon. Buying Wiz would be a “shot across the bow” at Microsoft and Amazon, showing that Google is making a “major bet on the cyber security space to complement its flagship offering in the cloud,” Dan Ives, managing director and senior equity research analyst at Wedbush, wrote in a note to clients on Monday. Cloud security has become especially important in recent years as companies have spent heavily to move data to cloud platforms. Just last week, AT&T revealed that nearly all of its wireless customers’ call and text records were exposed in a massive breach caused by an “illegal download” on a third-party cloud platform. The Google-Wiz deal talks come despite intense antitrust scrutiny under the Biden administration of tech giants. However, that antitrust scrutiny could be dialed back somewhat if Trump once again takes hold of the White House, Ives said, making the Federal Trade Commission “much weaker” and sparking an “accelerated merger and acquisition environment to take place for Big Tech.” If the acquisition gets finalized and closes, it would mark a massive exit for Wiz and its founders — Assaf Rappaport, Ami Luttwak, Yinon Costica and Roy Reznik. The four executives met years ago when they were drafted into Unit 8200, the cyber intelligence division of the Israel Defense Forces. Since starting up in March 2020 during the Covid-19 pandemic, New York City-based Wiz has enjoyed explosive growth. Today, the company says 40% of Fortune 100 companies are its clients. Notable customers include BMW, Slack and Salesforce, and it works with major cloud companies including Amazon, Microsoft and Google.",https://edition.cnn.com/2024/07/15/tech/google-wiz-acquisition/index.html,/,
Technology,CNN,"July 15, 2024",Secret Service faces serious questions about security footprint and rooftop access at Trump event,"In the wake of the attempted assassination of Donald Trump, there are widespread concerns and questions about how a sniper was able to obtain rooftop access roughly 150 meters from the former president’s position at the podium at an outdoor rally. Sources have described the shooting as coming from the “three o’clock” position of Trump’s podium location, with shots coming from his right side. Seconds after gunfire rang out, Secret Service counter-assault snipers began shooting the suspect who was found on top of a roof. Republican presidential candidate former President Donald Trump is helped off the stage at a campaign event in Butler, Pa., Saturday, July 13, 2024. (AP Photo/Gene J. Puskar) RELATED ARTICLE What was said on stage in the seconds after Trump was shot Notably, the shooter’s location was outside the security perimeter, raising questions about both the size of the perimeter and efforts to sweep and secure the American Glass Research building, and how the shooter was able to obtain rooftop access. President Joe Biden said Sunday he has directed US Secret Service director Kimberly Cheatle “to review all security measures – all security measures – for the Republican National Convention.” “I’ve directed an independent review of the national security at yesterday’s rally to assess exactly what happened. And I’ll share the results of that independent review with the American people,” Biden said. Law enforcement sources say that part of the aftermath will include a review of whether the Secret Service had enough assets to protect Trump days ahead of officially becoming the Republican presidential nominee and whether procedures were followed to conduct security sweeps of the building that offered a vantage point for the alleged shooter. “Foundationally, one of the most basic elements of site security, especially a site that’s outside and largely uncontrolled, is (to) eliminate sight lines to this space where the protectee will be either speaking or just occupying,” former FBI Deputy Director Andrew McCabe said on CNN’s “State of the Union” Sunday morning. “When you look at that map, it so clearly points to those buildings that are within it, clearly within shooting range.” FBI now leading the investigation into attempted assassination It is not yet clear how the shooter was able to obtain rooftop access in relatively close proximity, or why that building was left outside the “hard” security perimeter. The FBI is now the lead agency investigating the attempted assassination. But the security lapse issue will be for the Department of Homeland Security and USSS, as well as Congress, to look into. According to CNN affiliate KDKA, a witness says he told officers that he saw a gunman moving “from roof to roof,” moments before the assassination attempt. Ben Macer was along a fence line when he saw “the guy move from roof to roof. (I) told an officer (the alleged shooter) was on the roof,” KDKA reported. “When I turned around to go back to where I was, it was when the gunshots started, and then it was just chaos, and we all came running away, and that was that.” Witnesses have also told reporters that they saw a person fitting the description of the alleged shooter carrying a rifle outside the security cordon of the rally before the shooting. Corey Comperatore, who was killed after a gunman targeted former president Donald Trump at a rally on Saturday. RELATED ARTICLE Man killed in Trump assassination attempt identified as firefighter Corey Comperatore The shooter was spotted by local law enforcement who thought he might’ve been acting suspiciously near the event magnetometers on Saturday, according to a senior law enforcement official. They put it out over their radio to keep an eye on him – and that information was passed to Secret Service as well, according to the source. Multiple law enforcement sources told CNN that the shooter had explosive material in his car and residence. The Secret Service does not allow any weapons inside the cordoned off areas of any event. AGR has not responded to questions from CNN about the incident or security. Authorities have identified the gunman involved in the attack as 20-year-old Thomas Matthew Crooks, who was killed by Secret Service agents at the scene after the shooting. Multiple law enforcement sources with in-depth knowledge of Secret Service operations have told CNN counter-sniper teams have wide discretion when shooting down a threat. The Secret Service says there were four counter-sniper teams – two from USSS and two from local law enforcement. The agency says that, at the time of the shooting, Cheatle was in Milwaukee, where this week’s Republican National Convention is being held. Cheatle, according to The New York Times, sent a memo on Sunday, praising the agents who were with Trump at the rally Saturday for moving quickly and neutralizing the threat. “The attempted assassination of former President Trump in Butler, Pennsylvania, is a moment that forever will be remembered in history,” she wrote in the memo, which was reviewed by the Times. CNN has reached out to the Secret Service about the reported memo. Calls from Congress for probes into security ‘failure’ Republican and Democratic lawmakers are already demanding answers from the agency on the security posture and hearings on the incident. House Speaker Mike Johnson vowed a “full investigation” of the shooting, featuring testimony from USSS, DHS and the FBI, and two Republicans on the Senate Homeland Security Committee have also called for an investigation. House Intelligence Chairman Mike Turner, on CNN’s “State of the Union,” likewise said that Congress had “oversight scrutiny and responsibility,” and said there was a “failure of the overall broader net.” House Speaker Johnson calls out vilification of Trump after assassination attempt 00:56 - Source: CNN House Homeland Security Chairman Mark Green held a call with Cheatle Sunday afternoon, pressing her on what led to Saturday’s security failures, a committee source familiar with the call told CNN. Cheatle committed to providing requested documents to the committee promptly, as able, per the source. Green also detailed the information requests he has with DHS Secretary Alejandro Mayorkas, which include USSS communications and documents surrounding the rally, the source added. The Tennessee Republican sent a letter to Mayorkas earlier Sunday requesting documents about Secret Service security plans and its communications by July 19 and a briefing by July 22. House Oversight Chairman James Comer contacted the Secret Service for a briefing and is calling on Cheatle to appear for a hearing on July 22. New York Reps. Ritchie Torres, a Democrat, and Mike Lawler, a Republican, are also working to introduce a bill they say would give enhanced USSS protection to Trump, Biden and independent presidential candidate Robert F. Kennedy Jr. “As reports continue to emerge, it’s clear that more protection is needed for all major candidates for president,” the pair said in a joint statement provided to CNN. In a separate scathing letter to the Secret Service director on Sunday, Democratic Rep. Ruben Gallego said that there was a “security failure at the highest level, not seen since the attempted assassination of President Reagan.” “This cannot happen, and I demand accountability,” Gallego, who is running for an Arizona Senate seat, said. Secret Service denies claims that it rejected requests for more security for Trump The Secret Service – along with local law enforcement in Pennsylvania who assisted in securing the rally venue, as well as sources close to Trump’s campaign – is denying rumors circulating on social media, including by a Republican member of Congress, that the agency had denied requests from Trump’s team for more security. In a statement, the Secret Service said the detail had been increased recently. “There’s an untrue assertion that a member of the former President’s team requested additional security resources and that those were rebuffed,” said Secret Service spokesman Anthony Guglielmi. “This is absolutely false. In fact, we added protective resources & technology & capabilities as part of the increased campaign travel tempo.” The FBI also pushed back on the implication on Saturday night. tappertrump.jpg VIDEO RELATED VIDEO Jake Tapper: ‘We are living in an era of political violence’ “There was no additional request for security that was ever denied by the FBI,” Kevin Rojek, the FBI special agent in charge of the Pittsburgh office said during a news conference. The incident also raises questions about security at the upcoming Republican convention. Recently, the questions over how the Secret Service and law enforcement would treat those carrying firearms was raised at a press conference explaining the RNC security plan. A local official, Nick DeSiato, made clear due to Wisconsin law, firearms would be allowed in the “soft” perimeter – an area outside the magnetometers that is limited to foot traffic. Shooting comes after other lapses in protection for high-profile officials The scrutiny comes as the Secret Service has dealt with security lapses in recent months and years. In May 2023, an intruder gained access to the home of Jake Sullivan, the White House national security adviser, despite his round-the-clock Secret Service protection. Sullivan encountered the intruder in his home and alerted his security detail. Sullivan was unharmed. On January 6, 2021, then-incoming Vice President Kamala Harris was driven by her security detail yards away from a pipe bomb outside the Democratic National Headquarters. She was evacuated after law enforcement discovered the pipe bomb which was more than 90 minutes after her arrival. The Secret Service uses intelligence and strategic information to determine security posture. The agency is not formally part of the intelligence community, and is considered a “consumer” of intelligence, relying heavily on relationships with agencies such as the Director of National Intelligence, Central Intelligence Agency, National Security Agency, the Federal Bureau of Investigation and the Department of Homeland Security’s Office of Intelligence and Analysis. CORRECTION: This story has been updated with additional details and to correct the distance between the gunman and Donald Trump. It was 150 meters. CNN’s John Miller, Sam Fossum, Allison Gordon, Ali Main, Kayla Gallagher and Hannah Rabinowitz contributed to this report.",https://edition.cnn.com/2024/07/14/politics/secret-service-faces-serious-questions-about-security-footprint-and-rooftop-access-at-trump-event/index.html,/,False news
Technology,CNN,"July 17, 2024",Nasdaq has worst day since 2022 as tech stocks get slammed,"Tech shares slumped Wednesday as investors shed the behemoths that fueled Wall Street’s monster stock rally this year.

The Nasdaq Composite index tumbled 2.8%, logging its worst day since December 2022. The S&P 500 lost 1.4%.

The Dow rose 0.6%, closing at another record high and above 41,000 for the first time. That comes exactly two months after the Dow first closed above the 40,000 level.

Shares of tech heavyweight Nvidia (NVDA) slumped 6.6% and rival chipmaker Advanced Micro Devices (AMD) shares dropped by 10.2%.

The selloff comes after a Tuesday report from Bloomberg that the Biden administration is mulling plans to impose more sanctions on Chinese tech firms and to heighten semiconductor trade restrictions between the US and China.

The US Commerce Department declined to comment.

Investors are also selling tech stocks after a cool inflation report last week and stronger-than-expected retail sales data on Tuesday pushed up bets for a rate cut in September. Wall Street is looking to beaten-down stocks that tend to perform better when borrowing costs are low.

The Russell 2000 index, which tracks the performance of small-cap stocks, fell in midday trading Wednesday but is still up 4.5% for the week.

The Magnificent Seven tech stocks, which have led most of the gains this year thanks to the artificial intelligence boom, tumbled. Microsoft (MSFT) shares fell 1.3%, Apple (AAPL) shares slid 2.5%, Amazon (AMZN) shares declined 2.6%, Alphabet shares declined 1.6%, Tesla shares slipped 3.1% and Meta Platforms shares lost 5.7%.

As stocks settle after the trading day, levels might change slightly.

CNN’s Sean Lyngaas contributed to this report.",https://edition.cnn.com/2024/07/17/markets/us-markets-selloff/index.html,/,
Technology,CNN,"July 18, 2024",Dow closes more than 500 points lower and tech rout continues,"US stocks sold off broadly Thursday as Wall Street continued to shed tech stocks.

The Dow ended the day lower by 533 points, or 1.3%, retreating from a record high reached a day ago. The S&P 500 fell 0.8%. The Nasdaq Composite fell 0.7%, extending its losses after logging its worst day since 2022 on Wednesday.

“A correction was overdue and no one will be surprised if the market regains its momentum by the end of earnings season,” wrote Louis Navellier, chairman of Navellier & Associates, in a Thursday note.

Investors have this week moved out of the Magnificent Seven tech stocks that powered the market to repeated record highs this year. The shift comes after cooling inflation data and stronger-than-expected retail sales data bolstered expectations that the Federal Reserve will begin cutting sky-high interest rates as soon as September.

Shares of smaller companies that tend to do well in a lower-rate environment began rallying last week, helping the Dow reach fresh highs. But small-cap stocks have pared back their gains in recent sessions: The Russell 2000, which tracks the performance of US small caps, fell 1.8% on Thursday.

Shares of Nvidia, Microsoft, Meta Platforms, Amazon, Apple and Alphabet are on pace to close the week lower, while Tesla is on track to end slightly higher.

Tech stocks also took a hit this week after Bloomberg reported Tuesday that the Biden administration is mulling plans to impose more sanctions on Chinese tech firms and to heighten semiconductor trade restrictions between the US and China.

As stocks settle after the trading day, levels might change slightly.",https://edition.cnn.com/2024/07/18/investing/markets-selloff-rate-cut-tech-stocks/index.html,/,
Technology,CNN,"July 19, 2024",Which airports and airlines have been affected by the outages?,"Many flights across the world have been delayed or canceled Friday because of a major IT system failure. All flights for US carriers United Airlines, Delta Air Lines, and American Airlines were grounded early on Friday before operations started ramping up again. American Airlines has confirmed that is has resolved the issue affecting its operations, while Delta and United have resumed some flights. The Federal Aviation Administration provided assistance to airlines with ground stops as the IT issue was being addressed, the agency said early Friday morning on X. “Currently FAA operations are not impacted by the global IT issue,” the FAA posted later on Friday. “We continue to monitor the situation closely.” The agency also said the IT issue “could continue to affect flights this weekend.” As of midday Friday, thousands of flights had been canceled globally, with chaotic scenes at airports across the world as passengers waited for updates. Here are some of the major airlines and airports that have been impacted by the tech outage: Impacted airlines and airports The situation is evolving quickly, and passengers should check flights directly with carriers. The following are some of the carriers and airports with known technology impacts: North America American Airlines, United Airlines and Delta Air Lines were all impacted and issued travel waivers on Friday. “Earlier this morning, a technical issue with a vendor impacted multiple carriers, including American. As of 5 a.m. ET, we have been able to safely re-establish our operation. We apologize to our customers for the inconvenience,” American Airlines said in a statement to CNN. Delta and United resumed some flights Friday morning and warned of additional disruptions throughout the day. “The issue affected many separate systems, such as those used for calculating aircraft weight, checking in customers, and phone systems in our call centers,” United Airlines said in a midday update. Ultra-low cost airline SunCountry, Allegiant Air, Frontier and Spirit Airlines were experiencing disruptions caused by the outage on Friday. Southwest Airlines and JetBlue were not impacted by the outage. “While our operational systems were not impacted by this outage, customers should monitor their flight status and build in extra time in the event that this outage has impacted specific airports due to outages at other airlines, airport operators, or government agencies,” JetBlue said in a statement. Toronto-based Porter Airlines announced that it was canceling flights on Friday until noon ET due to “prolonged third-party technology systems outages affecting multiple global industries. Two low-cost airlines in Mexico City, Volaris and Viva Aerobus, were also impacted. Passengers traveling through Los Angeles International Airport are experiencing a “mixed bag” of delays and cancellations due to the tech outage, an airport spokesperson told CNN. At Hartsfield-Jackson Atlanta International Airport airside operations are working, although some customer-facing airlines “are dealing with a few challenges,” amid the ongoing global computer outage, Andrew Gobeil, who oversees public affairs outreach at the airport, told CNN. At Dallas Fort Worth International Airport officials “anticipate significant delays and cancellations throughout the day,” the airport said. “We ask customers to verify your flight status with your airline prior to heading to the airport. Longer lines are possible so allow extra time.” Chicago O’Hare International Airport advised passengers to check their flight status directly with their carrier due to the tech issues. “Longer lines and wait times are possible, please allow extra time,” it said. John F. Kennedy International Airport said: “The Port Authority is not affected by the ongoing global network outage, but some airlines are experiencing delays/cancellations. DO NOT head to the airport unless your flight status is confirmed,” according to an airport post on X. That guidance applies to LaGuardia and Newark airports as well. Philadelphia International Airport said passengers should expect delays and cancellations on Friday. Charlotte Douglas International Airport advised passengers not to come to the airport “unless they have confirmed their flight information with the airline.” Miami International Airport advised that US Customs and Border Patrol operations are being affected nationwide, “so international passenger arrivals are currently being processed manually at a slower pace.” Passengers and airline pilots wait at Newark International Airport after United Airlines and other airlines grounded flights because of a worldwide tech outage. Passengers and airline pilots wait at Newark International Airport after United Airlines and other airlines grounded flights because of a worldwide tech outage. Bing Guan/Reuters Around the world Asia Pacific In the Asia Pacific region, AirAsia’s “core reservation and check-in system” was impacted and Cebu Pacific Air was forced to handle all processes manually. Singapore Airlines, the flag carrier of Singapore, said none of its flights had been impacted, but it is experiencing technical difficulties. Qantas, the flag carrier of Australia, has also been impacted by IT disruptions, and was still operating Friday, but with delays. Taiwan’s Taoyuan International Airport said several airlines at the airport had been impacted. Jetstar, Hong Kong Express, Jeju Air and Scoot have all resorted to manual check-ins, the airport said. Delhi’s Indira Gandhi International Airport and six Indian airlines have also reported technical difficulties. Jaipur International Airport said “flights nationwide” have been affected by the outage. South Korea’s Incheon International Airport said Air Premia, Easter Jet and several other airlines had been affected. Korean Air, the country’s flagship carrier, said it uses Amazon Web Services (AWS) and so had not been affected. Long queues of passengers form at the check-in counters at Ninoy Aquino International Airport in Manila, Philippines on July 19. Long queues of passengers form at the check-in counters at Ninoy Aquino International Airport in Manila, Philippines on July 19. Ezra Acayan/Getty Images Middle East Dubai International Airport said the check-in process for some airlines had been affected, but that it is “now back to operating normally.” Europe London’s Gatwick Airport said it is “affected by the global Microsoft issues” and that passengers may experience delays checking in and going through security. Germany’s Berlin Airport said it is experiencing delays to check-in due to a “technical fault.” Amsterdam’s Schiphol Airport said the “global system failure” had affected “flights to and from Schiphol” and the impact is “now being mapped.” KLM Royal Dutch Airlines said the outages are “making flight handling impossible.” Scotland’s Edinburgh Airport said the outages mean “wait times are longer than usual at the airport.” Spain’s airport authority, AENA, which supervises airports in Madrid, Barcelona and others across the country said the outage “could cause delays” and that its staff are working to solve the problems. Iberia Airlines, the flag carrier of Spain’s airline, told CNN their systems started working again at 9:30 a.m. local time (3:30 a.m. ET), adding there were still some delays. Prague Airport said the issues have affected its global check-in system, delaying flights. Ireland’s Ryanair also confirmed a disruption to the airline’s network, advising passengers to arrive at least three hours before their scheduled departure time. Air France, the country’s flag carrier, said the IT issue had disrupted its operations — although flights already in the air are not affected. Turkish Airlines said it was experiencing problems with ticketing, check-in and reservations. “Our teams are working diligently to resolve the issue,” the airline said. Central and South America Panama-based Copa Airlines said it is also one of the global airlines impacted and some flights might be delayed following the large-scale third-party software outage, according to a post on X on Friday. The airline asked passengers to “go to the airport at least 4 hours before your departure.” LATAM Airlines, the Chilean carrier, announced on Friday that global outages “could be causing delays” for some its flights.",,/,
China property,Reuters,"July 15, 2024","China new home prices fall at fastest pace in 9 years, more support needed
","BEIJING, July 15 (Reuters) - China's new home prices in June fell at the fastest clip in nine years while property sales and investment slumped, increasing pressure on policymakers for more stimulus to prop up the battered sector as it struggles to find a bottom. New home prices slid 4.5% from a year earlier, hitting the lowest since June 2015, deeper than a 3.9% slide in May, according to Reuters calculations based on National Bureau of Statistics (NBS) data. Advertisement · Scroll to continue Prices were down 0.7% month-on-month in June after a 0.7% dip in May. Since 2021, the property market's steep downturn has led to a series of developers defaulting, leaving numerous construction sites idle. This has eroded confidence in the sector, traditionally favoured by Chinese households as a safe haven for their savings. The property sector which at its peak accounted for a quarter of GDP, remains a major drag on the $18 trillion economy. Advertisement · Scroll to continue Authorities have rolled out a flurry of support measures, including cutting home buying costs in major cities and allowing local governments to buy some unsold apartments and turn them into affordable housing. ""Recent supports are a step in the right direction but are still dwarfed by the scale of the problem. Real estate's tentacles run deep. When the sector hurts, pain is felt economy-wide,"" said Harry Murphy Cruise, economist at Moody's Analytics, in a research note. Official data also showed China's economy grew 4.7% in April-June, its slowest since the first quarter of 2023 and missing a 5.1% analysts' forecast in a Reuters poll. Reuters Graphics Reuters Graphics While some measures such as lifting of home purchase restrictions have helped market sentiment, more stimulus may not bolster falling prices. ""The structure of supply and demand in the property sector has been fundamentally reversed. (The market) does not need to have excessively high expectations of the effects of the policies,"" said Zhang Dawei, analyst at Centaline Property Agency Ltd. ""It is unlikely that there will be a rise across the board in the sector in the future,"" Zhang said. Property investment fell 10.1% in the first half of 2024 from a year earlier, and home sales by floor area fell 19.0%, compared with a 20.3% slump in the first five months of the year, separate NBS figures showed. Markets will closely scrutinise directives from the Communist Party leadership meeting starting on Monday where key economic issues will be discussed. Policy advisers believe China could unveil tax and fiscal changes that would funnel more tax revenues to debt-laden local governments to help ease pressure on their finances. ""The remainder of 2024 will be defined by officials' success in arresting the property market's falls and encouraging domestic spending. Both require significant intervention,"" said Moody's Analytics Murphy Cruise.",https://www.reuters.com/world/china/china-june-new-home-prices-fall-fastest-pace-9-years-2024-07-15/,/,"summary: New home prices fall both in annual and monthly terms
Property investment, sales slump year-on-year"
China property,Bloomberg,"July 15, 2024",China Home Prices Fall Sharply Despite Latest Rescue Plan,"China’s home prices fell again in June, underscoring the challenge for policymakers to halt the property market slump that’s hurting developers and the economy.
New-home prices in 70 cities, excluding state-subsidized housing, dropped 0.67% from May, when they slid 0.71%, the most since October 2014, National Bureau of Statistics figures showed Monday. Values of existing homes declined 0.85%, compared with a 1% decrease a month earlier.
The figures add to evidence that a rescue package unveiled in May has done little to boost sentiment in the real estate market. Yet few expect more aggressive measures to emerge from a key five-year meeting of Chinese Communist Party officials starting Monday. Pressure on prices is likely to remain as developers and homeowners resort to deep discounts to offload homes.
“Fears of catching a falling knife could deter property investment,” Bloomberg Intelligence analysts Kristy Hung and Monica Si wrote in a recent note. “Excessive inventory of new and existing homes added pressure for further price drops.”
China in May introduced a broad real estate policy package centered on relaxing mortgage rules and encouraging local governments to buy unsold homes. All four of the nation’s biggest cities — Beijing, Shanghai, Shenzhen and Guangzhou — have since rolled out major easing measures for homebuyers.
Investors and analysts are skeptical that the steps will be sufficient due to the limited central bank funding revealed so far and the slow progress of existing trial programs in several cities.
More on China property:
China New Home Sales Struggle in Face of Lopsided Recovery
China’s 60 Million Homes Are Hard to Sell Even in Big Cities
China’s Rich Spend Millions on Shanghai Property
WATCH: Bloomberg Originals explores how the real estate sector became such a mess and what the implications could be for the global economy.
Property polices are a key area of focus during the Third Plenum this week, one of the most important political meetings of the Chinese Communist Party. China has the firepower to end its housing crisis, including with a “big-bang solution” that involves pumping money like the Federal Reserve, but it’s unlikely to pull the trigger, according to Bloomberg Economics.
For now, investors are yet to be convinced that the housing slump has reached a turning point. Shares of Chinese real estate firms have slid further into a bear market, dropping 26% from a mid-May high.
Developer China Vanke Co. last week warned of a loss of as much as 9 billion yuan ($1.2 billion) in the first half, as discounts and high land acquisition costs hurt margins. The state-backed company is trying to avoid following the likes of China Evergrande Group and Country Garden Holdings Co. into default.
— With assistance from Charlie Zhu and Emma Dong",https://www.bloomberg.com/news/articles/2024-07-15/china-home-prices-fall-sharply-despite-latest-rescue-plan,/,
China property,房天下,"July 15, 2024",天津房价再度下跌，二手房存量猛增,"天津楼市再次出现房价下跌现象，新房与二手房价格环比均有小幅下降。同时，二手房存量从139,000套增加至196,000套，市场供需失衡。专家认为，天津房价短期内难有大幅反弹。


近几个月，天津的房地产市场确实表现出一定的疲软迹象。新房和二手房价格的双双下跌，虽然幅度不大，但反映了市场上的供需失衡状态。特别是二手房的存量，从之前的139,000套增加到现在的196,000套，显示出市场上的供过于求。这种情况给想要通过房价反弹来获利的投资者带来了挑战。

近年来，天津房价经历了长时间的下跌，从2017年开始的横盘，到2018年开始的下行，整体市场已经经历了多年的调整。这种长期的价格下跌，使得部分地区的房价比高峰时期下降了约30%。尽管当前的价格跌幅不大，但也反映了市场的相对稳定性。然而，这也意味着要实现显著的价格反弹并不容易。

对于普通购房者来说，当前的市场环境可能更适合刚需购房。价格相对稳定，选择的房源也较为丰富。但对于投资者来说，需要更加谨慎，短期内通过房价上涨获利的可能性较低。

总的来说，天津房地产市场的未来走势仍然需要关注政策调控、经济环境以及供需平衡等多方面因素。对于购房者和投资者来说，理性判断和谨慎决策是目前最为重要的。",https://tj.news.fang.com/open/50645167.html,/,
